Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
6_7_6_2_3_3_4_5_2_3_1_3_5_7_4_5_3_3_5_4_3_4_4_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167757.023769705439918	0.007000000000000
7_6_6_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168964.632569389912533	0.007000000000000
7_6_6_2_3_3_5_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	1	1094634.614835865329951	13857.723154367296956	2319311.130940327420831	4.247000000000000	-170636.733138415467693	0.008000000000000
7_6_6_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170626.937862393620890	0.007000000000000
7_8_7_2_3_3_5_2_2_2_1_3_5_8_4_6_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169294.670663258322747	0.010000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	1	1094543.648836267879233	13857.723154367296956	2312828.553128163330257	1.933000000000000	-170667.754881292785285	0.011000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170667.754881292785285	0.018000000000000
6_7_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_6_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170447.521197550697252	0.008000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_5_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169587.640676132345106	0.011000000000000
7_5_6_2_3_3_4_7_2_2_1_3_5_8_4_5_3_3_5_4_3_4_4_1	1	1097405.076298599364236	14024.276764310787257	2366418.759066020604223	1.169000000000000	-167971.129814194922801	0.012000000000000
7_5_6_2_3_3_4_5_2_2_1_3_5_10_5_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170281.438287586148363	0.008000000000000
7_5_6_2_3_3_4_2_2_2_1_3_5_11_4_5_3_3_5_5_3_4_4_1	1	1098265.715062912087888	13817.470724330476514	2346399.099455424118787	1.502000000000000	-169431.881433251197450	0.009000000000000
6_8_7_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169453.802528976753820	0.013000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_4_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170667.754881292785285	0.011000000000000
7_6_6_2_3_3_6_2_2_3_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170667.754881292785285	0.011000000000000
7_6_6_2_3_3_6_2_2_2_1_4_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170667.754881292785285	0.010000000000000
7_6_6_2_4_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170608.479491450038040	0.016000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_5_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170630.967404227762017	0.012000000000000
8_6_7_2_3_3_4_2_2_2_1_4_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-172585.050531801738543	0.008000000000000
7_5_5_2_3_3_4_8_2_2_1_3_5_8_4_5_3_3_5_4_3_4_4_1	1	1097806.927214052993804	14507.224269805570657	2421524.290284498129040	1.230000000000000	-166946.278687111800537	0.009000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170763.698927608376835	0.011000000000000
7_5_7_2_3_3_6_2_2_2_1_3_6_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170491.979818218853325	0.010000000000000
6_8_5_2_3_3_4_5_2_2_1_3_5_7_4_5_3_3_5_4_3_4_4_3	1	1089707.320570901269093	14232.774361937623326	2298881.801871750969440	0.931000000000000	-166340.357010466395877	0.009000000000000
7_6_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_6_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-172564.920320609613555	0.009000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169090.101845622702967	0.013000000000000
7_6_6_3_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169610.110075695847627	0.011000000000000
