shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1105358,100,52.15608,6.20992,41906
1105358,101,52.15576,6.20941,41956
1105358,102,52.15513,6.2085,42050
1105358,103,52.15472,6.20799,42107
1105358,104,52.14798,6.1995,43056
1105358,105,52.14726,6.19862,43156
1105358,106,52.14638,6.19747,43282
1105358,107,52.14627,6.19732,43298
1105358,108,52.14551,6.19602,43421
1105358,109,52.14504,6.1948,43520
1105358,110,52.14493,6.19445,43547
1105358,112,52.14462,6.19346,43623
1105358,113,52.14429,6.19211,43722
1105358,114,52.14366,6.18925,43930
1105358,115,52.14161,6.18036,44580
1105358,116,52.14147,6.17967,44630
1105358,117,52.14135,6.17896,44680
1105358,118,52.14126,6.17825,44730
1105358,119,52.14122,6.17722,44801
1105358,120,52.14123,6.17612,44876
1105358,121,52.14133,6.17494,44958
1105358,122,52.14147,6.1739,45031
1105358,123,52.1416,6.17325,45078
1105358,124,52.14187,6.17219,45157
1105358,125,52.14219,6.17122,45232
1105358,126,52.14245,6.17055,45286
1105358,127,52.1427,6.17003,45331
1105358,128,52.14329,6.16895,45430
1105358,129,52.1555,6.14744,47433
1105358,130,52.15733,6.14421,47734
1105358,131,52.15758,6.14371,47778
1105358,133,52.15789,6.14306,47834
1105358,134,52.15819,6.14233,47894
1105358,135,52.15952,6.13876,48180
1105358,136,52.16023,6.13681,48335
1105358,137,52.16117,6.13431,48536
1105358,138,52.16213,6.13183,48737
1105358,139,52.164,6.12684,49137
1105358,140,52.16587,6.12184,49537
1105358,141,52.16632,6.12059,49636
1105358,142,52.17465,6.09476,51631
1105358,143,52.17588,6.09086,51931
1105358,144,52.17819,6.08372,52483
1105358,146,52.18046,6.07663,53030
1105358,147,52.18257,6.07019,53529
1105358,148,52.20175,6.01052,58134
1105358,149,52.20218,6.00923,58234
1105358,150,52.2052,6.00048,58920
1105358,152,52.20702,5.99518,59335
1105358,153,52.20744,5.99388,59435
1105358,154,52.20781,5.99254,59535
1105358,155,52.20798,5.99185,59586
1105358,156,52.20828,5.99038,59692
1105358,157,52.20842,5.9895,59754
1105358,158,52.20858,5.98834,59835
1105358,159,52.20867,5.98749,59894
1105358,160,52.20873,5.98664,59952
1105358,161,52.2088,5.98541,60036
1105358,162,52.20896,5.98081,60351
1105358,163,52.20895,5.97924,60458
1105358,164,52.209,5.97666,60634
1105358,165,52.20928,5.97028,61071
