route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17562,2448,284597821,IFF:IC:2870,Rotterdam Centraal,2870,Intercity,1,,1359603,0,1
17562,2389,284597830,IFF:IC:2872,Rotterdam Centraal,2872,Intercity,1,,1359603,0,1
17562,2389,284597846,IFF:IC:2887,Amsterdam Centraal,2887,Intercity,0,,1359602,0,1
17562,2448,284597858,IFF:IC:2829,Amsterdam Centraal,2829,Intercity,0,,1359602,0,1
17562,2425,284597861,IFF:IC:2886,Rotterdam Centraal,2886,Intercity,1,,1359603,0,1
17562,2425,284597884,IFF:IC:2880,Rotterdam Centraal,2880,Intercity,1,,1359603,0,1
17562,2448,284597893,IFF:IC:2854,Rotterdam Centraal,2854,Intercity,1,,1359603,0,1
17562,2315,284597956,IFF:IC:2817,Utrecht Centraal,2817,Intercity,0,,1270054,0,1
17562,2389,284597983,IFF:IC:2889,Amsterdam Centraal,2889,Intercity,0,,1359602,0,1
17562,2448,284598051,IFF:IC:2832,Rotterdam Centraal,2832,Intercity,1,,1359603,0,1
17562,2112,284598137,IFF:IC:2876,Rotterdam Centraal,2876,Intercity,1,260793,1270053,0,1
17562,2389,284598161,IFF:IC:2871,Amsterdam Centraal,2871,Intercity,0,,1359602,0,1
17562,2425,284598187,IFF:IC:2843,Alkmaar,2843,Intercity,0,,1359602,0,1
17562,2448,284598194,IFF:IC:2884,Rotterdam Centraal,2884,Intercity,1,,1359603,0,1
17562,2389,284598233,IFF:IC:2877,Amsterdam Centraal,2877,Intercity,0,,1359602,0,1
17562,2389,284598254,IFF:IC:2816,Rotterdam Centraal,2816,Intercity,1,,1359603,0,1
17562,2389,284598269,IFF:IC:2820,Rotterdam Centraal,2820,Intercity,1,,1359603,0,1
17562,2425,284598442,IFF:IC:2849,Alkmaar,2849,Intercity,0,,1359602,0,1
17562,2448,284598523,IFF:IC:2822,Rotterdam Centraal,2822,Intercity,1,,1359603,0,1
17562,2448,284598577,IFF:IC:2820,Rotterdam Centraal,2820,Intercity,1,,1359603,0,1
17562,2425,284598671,IFF:IC:2839,Alkmaar,2839,Intercity,0,,1359602,0,1
17562,2425,284598685,IFF:IC:2861,Alkmaar,2861,Intercity,0,,1359602,0,1
17562,2425,284598701,IFF:IC:2847,Alkmaar,2847,Intercity,0,,1359602,0,1
17562,2389,284598801,IFF:IC:2840,Rotterdam Centraal,2840,Intercity,1,,1359603,0,1
17562,2448,284598822,IFF:IC:2864,Rotterdam Centraal,2864,Intercity,1,,1359603,0,1
17562,2448,284598827,IFF:IC:2830,Rotterdam Centraal,2830,Intercity,1,,1359603,0,1
17562,2448,284598919,IFF:IC:2879,Amsterdam Centraal,2879,Intercity,0,,1359602,0,1
17562,2389,284598927,IFF:IC:2879,Amsterdam Centraal,2879,Intercity,0,,1359602,0,1
17562,2389,284599010,IFF:IC:2888,Rotterdam Centraal,2888,Intercity,1,,1270053,0,1
17562,2425,284599030,IFF:IC:2842,Rotterdam Centraal,2842,Intercity,1,,1359603,0,1
17562,2448,284599157,IFF:IC:2835,Alkmaar,2835,Intercity,0,,1359602,0,1
17562,2448,284599198,IFF:IC:2831,Amsterdam Centraal,2831,Intercity,0,,1359602,0,1
17562,2448,284599266,IFF:IC:2827,Amsterdam Centraal,2827,Intercity,0,,1359602,0,1
17562,2425,284599417,IFF:IC:2846,Rotterdam Centraal,2846,Intercity,1,,1359603,0,1
17562,2292,284599425,IFF:IC:2877,Enschede,2877,Intercity,0,256007,1270054,0,1
