route_ID;name;bus_stop;traveltime to next stop
9;14 - Leiden Centraal;Koninginnelaan, Leiden;1
9;14 - Leiden Centraal;Leliestraat, Leiden;2
9;14 - Leiden Centraal;Korevaarstraat, Leiden;1
9;14 - Leiden Centraal;Breestraat, Leiden;3
9;14 - Leiden Centraal;Prinsessekade, Leiden;1
9;14 - Leiden Centraal;Nieuwe Beestenmarkt, Leiden;2
9;14 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
10;14 - De Vink;Station Leiden Centraal, Leiden (Vertrek);2
10;14 - De Vink;Steenstraat, Leiden;3
10;14 - De Vink;Breestraat, Leiden;1
10;14 - De Vink;Korevaarstraat, Leiden;2
10;14 - De Vink;Leliestraat, Leiden;1
10;14 - De Vink;Herenstraat, Leiden;1
10;14 - De Vink;Fruitweg, Leiden;1
10;14 - De Vink;Rosenburch, Leiden;1
10;14 - De Vink;Vijf Meiplein, Leiden;2
10;14 - De Vink;Bizetpad, Leiden;3
10;14 - De Vink;Trompweg, Voorschoten;2
10;14 - De Vink;Station De Vink, Leiden;
;;;
11;20 - Leiden Centraal;Lijsterstraat, Leiden;2
11;20 - Leiden Centraal;Posthof, Leiden;2
11;20 - Leiden Centraal;Leiden CS Westzijde, Leiden;1
11;20 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
12;20 - Vuurtorenplein;Station Leiden Centraal, Leiden (Vertrek);1
12;20 - Vuurtorenplein;Leiden CS Westzijde, Leiden;1
12;20 - Vuurtorenplein;Posthof, Leiden;2
12;20 - Vuurtorenplein;Lijsterstraat, Leiden;1
;;;
13;21 - Leiden Centraal;Lijsterstraat, Leiden;2
13;21 - Leiden Centraal;Posthof, Leiden;2
13;21 - Leiden Centraal;Leiden CS Westzijde, Leiden;1
13;21 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
14;21 - Vuurtorenplein;Station Leiden Centraal, Leiden (Vertrek);1
14;21 - Vuurtorenplein;Leiden CS Westzijde, Leiden;1
14;21 - Vuurtorenplein;Posthof, Leiden;2
14;21 - Vuurtorenplein;Lijsterstraat, Leiden;1
;;;
16;22 - Nieuw Vennep, Station;Station Leiden Centraal, Leiden (Vertrek);3
16;22 - Nieuw Vennep, Station;Verbeekstraat, Leiden;1
16;22 - Nieuw Vennep, Station;Bio Science Park-Oost, Leiden;
;;;
15;22 - Leiden Centraal;Bio Science Park-Oost, Leiden;1
15;22 - Leiden Centraal;Verbeekstraat, Leiden;3
15;22 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
17;23 - Leiden Centraal;Bio Science Park-Oost, Leiden;1
17;23 - Leiden Centraal;Verbeekstraat, Leiden;3
17;23 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
18;23 - Picképlein;Station Leiden Centraal, Leiden (Vertrek);3
18;23 - Picképlein;Verbeekstraat, Leiden;1
18;23 - Picképlein;Bio Science Park-Oost, Leiden;
;;;
20;30 - Willem vd Bergh;Station Leiden Centraal, Leiden (Vertrek);4
20;30 - Willem vd Bergh;Noodhalte Naturalis, Leiden;2
20;30 - Willem vd Bergh;Universiteitsterrein, Leiden;2
20;30 - Willem vd Bergh;Niels Bohrweg, Leiden;
;;;
19;30 - Leiden Centraal;Niels Bohrweg, Leiden;2
19;30 - Leiden Centraal;Universiteitsterrein, Leiden;2
19;30 - Leiden Centraal;Noodhalte Naturalis, Leiden;6
19;30 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
21;31 - Leiden Centraal;Niels Bohrweg, Leiden;2
21;31 - Leiden Centraal;Universiteitsterrein, Leiden;2
21;31 - Leiden Centraal;Noodhalte Naturalis, Leiden;6
21;31 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
22;31 - Willem vd Bergh;Station Leiden Centraal, Leiden (Vertrek);4
22;31 - Willem vd Bergh;Noodhalte Naturalis, Leiden;2
22;31 - Willem vd Bergh;Universiteitsterrein, Leiden;1
22;31 - Willem vd Bergh;Niels Bohrweg, Leiden;
;;;
24;38 - Hangaar 1;Station Leiden Centraal, Leiden (Vertrek);5
24;38 - Hangaar 1;Noodhalte Naturalis, Leiden;2
24;38 - Hangaar 1;Universiteitsterrein, Leiden;1
24;38 - Hangaar 1;Niels Bohrweg, Leiden;
;;;
23;38 - Leiden Centraal;Niels Bohrweg, Leiden;1
23;38 - Leiden Centraal;Universiteitsterrein, Leiden;2
23;38 - Leiden Centraal;Noodhalte Naturalis, Leiden;6
23;38 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
25;50 - Leiden Centraal;Lijsterstraat, Leiden;4
25;50 - Leiden Centraal;Posthof, Leiden;3
25;50 - Leiden Centraal;Leiden CS Westzijde, Leiden;1
25;50 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
26;50 - Meer en Duin;Station Leiden Centraal, Leiden (Vertrek);1
26;50 - Meer en Duin;Leiden CS Westzijde, Leiden;1
26;50 - Meer en Duin;Posthof, Leiden;1
26;50 - Meer en Duin;Lijsterstraat, Leiden;1
;;;
28;55 - Voorhout Station;Trompweg, Voorschoten;2
28;55 - Voorhout Station;Bizetpad, Leiden;1
28;55 - Voorhout Station;Sweelincklaan, Leiden;1
28;55 - Voorhout Station;Cornelis Schuytlaan, Leiden;1
28;55 - Voorhout Station;Brandts Buyskade, Leiden;1
28;55 - Voorhout Station;Churchillbrug, Leiden;2
28;55 - Voorhout Station;De Genestetstraat, Leiden;1
28;55 - Voorhout Station;Noordeinde, Leiden;1
28;55 - Voorhout Station;Prinsessekade, Leiden;1
28;55 - Voorhout Station;Nieuwe Beestenmarkt, Leiden;2
28;55 - Voorhout Station;Station Leiden Centraal, Leiden (Aankomst);5
28;55 - Voorhout Station;Station Leiden Centraal, Leiden (Vertrek);1
28;55 - Voorhout Station;Leiden CS Westzijde, Leiden;2
28;55 - Voorhout Station;Posthof, Leiden;1
28;55 - Voorhout Station;Alrijne Ziekenhuis, Leiden;1
28;55 - Voorhout Station;Zweilandlaan, Leiden;3
;;;
27;55 - Starrenburg;Zweilandlaan, Leiden;2
27;55 - Starrenburg;Alrijne Ziekenhuis, Leiden;3
27;55 - Starrenburg;Posthof, Leiden;2
27;55 - Starrenburg;Leiden CS Westzijde, Leiden;1
27;55 - Starrenburg;Station Leiden Centraal, Leiden (Aankomst);4
27;55 - Starrenburg;Station Leiden Centraal, Leiden (Vertrek);1
27;55 - Starrenburg;Steenstraat, Leiden;2
27;55 - Starrenburg;Noordeinde, Leiden;2
27;55 - Starrenburg;De Genestetstraat, Leiden;1
27;55 - Starrenburg;Churchillbrug, Leiden;2
27;55 - Starrenburg;Brandts Buyskade, Leiden;1
27;55 - Starrenburg;Cornelis Schuytlaan, Leiden;1
27;55 - Starrenburg;Sweelincklaan, Leiden;1
27;55 - Starrenburg;Bizetpad, Leiden;1
27;55 - Starrenburg;Trompweg, Voorschoten;
;;;
29;56 - Stationsstraat;Gorlaeus Laboratorium, Leiden;2
29;56 - Stationsstraat;Blauwe Vogelweg, Leiden;3
29;56 - Stationsstraat;Alrijne Ziekenhuis, Leiden;1
29;56 - Stationsstraat;Posthof, Leiden;2
29;56 - Stationsstraat;Leiden CS Westzijde, Leiden;1
29;56 - Stationsstraat;Station Leiden Centraal, Leiden (Aankomst);2
29;56 - Stationsstraat;Station Leiden Centraal, Leiden (Vertrek);2
29;56 - Stationsstraat;Steenstraat, Leiden;3
29;56 - Stationsstraat;Breestraat, Leiden;1
29;56 - Stationsstraat;Korevaarstraat, Leiden;1
29;56 - Stationsstraat;Hogewoerd, Leiden;2
29;56 - Stationsstraat;Pelikaan, Leiden;0
29;56 - Stationsstraat;Houtmarkt, Leiden;2
29;56 - Stationsstraat;Kooipark, Leiden;1
29;56 - Stationsstraat;Surinamestraat, Leiden;1
29;56 - Stationsstraat;Sumatrastraat, Leiden;3
;;;
30;56 - Sassenheim;Sumatrastraat, Leiden;1
30;56 - Sassenheim;Surinamestraat, Leiden;1
30;56 - Sassenheim;Kooipark, Leiden;2
30;56 - Sassenheim;Houtmarkt, Leiden;0
30;56 - Sassenheim;Pelikaan, Leiden;2
30;56 - Sassenheim;Hogewoerd, Leiden;1
30;56 - Sassenheim;Korevaarstraat, Leiden;1
30;56 - Sassenheim;Breestraat, Leiden;2
30;56 - Sassenheim;Prinsessekade, Leiden;1
30;56 - Sassenheim;Nieuwe Beestenmarkt, Leiden;3
30;56 - Sassenheim;Station Leiden Centraal, Leiden (Aankomst);2
30;56 - Sassenheim;Station Leiden Centraal, Leiden (Vertrek);1
30;56 - Sassenheim;Leiden CS Westzijde, Leiden;1
30;56 - Sassenheim;Posthof, Leiden;2
30;56 - Sassenheim;Alrijne Ziekenhuis, Leiden;2
30;56 - Sassenheim;Albinusdreef, Leiden;1
30;56 - Sassenheim;Blauwe Vogelweg, Leiden;1
30;56 - Sassenheim;Gorlaeus Laboratorium, Leiden;1
;;;
32;169 - Alphen ad Rijn;Station Leiden Centraal, Leiden (Vertrek);2
32;169 - Alphen ad Rijn;Steenstraat, Leiden;3
32;169 - Alphen ad Rijn;Breestraat, Leiden;2
32;169 - Alphen ad Rijn;Korevaarstraat, Leiden;2
32;169 - Alphen ad Rijn;Kraaierstraat, Leiden;1
32;169 - Alphen ad Rijn;Plantage, Leiden;2
32;169 - Alphen ad Rijn;Burggravenlaan, Leiden;2
32;169 - Alphen ad Rijn;Meerburgerkade, Leiden;1
32;169 - Alphen ad Rijn;Leiderdorpsebrug, Leiden;1
;;;
31;169 - Leiden Centraal;Leiderdorpsebrug, Leiden;1
31;169 - Leiden Centraal;Meerburgerkade, Leiden;1
31;169 - Leiden Centraal;Wilhelminabrug, Leiden;1
31;169 - Leiden Centraal;Burggravenlaan, Leiden;2
31;169 - Leiden Centraal;Plantage, Leiden;1
31;169 - Leiden Centraal;Kraaierstraat, Leiden;2
31;169 - Leiden Centraal;Korevaarstraat, Leiden;1
31;169 - Leiden Centraal;Breestraat, Leiden;4
31;169 - Leiden Centraal;Prinsessekade, Leiden;1
31;169 - Leiden Centraal;Nieuwe Beestenmarkt, Leiden;3
31;169 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
33;182 - Leiden Centraal;Leiderdorpsebrug, Leiden;1
33;182 - Leiden Centraal;Meerburgerkade, Leiden;1
33;182 - Leiden Centraal;Wilhelminabrug, Leiden;1
33;182 - Leiden Centraal;Burggravenlaan, Leiden;1
33;182 - Leiden Centraal;Plantage, Leiden;1
33;182 - Leiden Centraal;Kraaierstraat, Leiden;2
33;182 - Leiden Centraal;Jan van Houtkade, Leiden;2
33;182 - Leiden Centraal;Witte Rozenstraat, Leiden;1
33;182 - Leiden Centraal;Paterstraat, Leiden;1
33;182 - Leiden Centraal;Noordeinde, Leiden;1
33;182 - Leiden Centraal;Prinsessekade, Leiden;1
33;182 - Leiden Centraal;Nieuwe Beestenmarkt, Leiden;4
33;182 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
34;182 - Alphen ad Rijn;Station Leiden Centraal, Leiden (Vertrek);1
34;182 - Alphen ad Rijn;Steenstraat, Leiden;1
34;182 - Alphen ad Rijn;Noordeinde, Leiden;1
34;182 - Alphen ad Rijn;Paterstraat, Leiden;2
34;182 - Alphen ad Rijn;Witte Rozenstraat, Leiden;2
34;182 - Alphen ad Rijn;Jan van Houtkade, Leiden;2
34;182 - Alphen ad Rijn;Kraaierstraat, Leiden;1
34;182 - Alphen ad Rijn;Plantage, Leiden;2
34;182 - Alphen ad Rijn;Burggravenlaan, Leiden;2
34;182 - Alphen ad Rijn;Meerburgerkade, Leiden;1
34;182 - Alphen ad Rijn;Leiderdorpsebrug, Leiden;2
;;;
36;183 - Alphen ad Rijn;Niels Bohrweg, Leiden;1
36;183 - Alphen ad Rijn;Universiteitsterrein, Leiden;2
36;183 - Alphen ad Rijn;Noodhalte Naturalis, Leiden;6
36;183 - Alphen ad Rijn;Station Leiden Centraal, Leiden (Aankomst);2
36;183 - Alphen ad Rijn;Station Leiden Centraal, Leiden (Vertrek);1
36;183 - Alphen ad Rijn;Steenstraat, Leiden;1
36;183 - Alphen ad Rijn;Noordeinde, Leiden;1
36;183 - Alphen ad Rijn;Paterstraat, Leiden;2
36;183 - Alphen ad Rijn;Witte Rozenstraat, Leiden;2
36;183 - Alphen ad Rijn;Jan van Houtkade, Leiden;1
36;183 - Alphen ad Rijn;Kraaierstraat, Leiden;1
36;183 - Alphen ad Rijn;Plantage, Leiden;1
36;183 - Alphen ad Rijn;Burggravenlaan, Leiden;2
36;183 - Alphen ad Rijn;Meerburgerkade, Leiden;2
36;183 - Alphen ad Rijn;Leiderdorpsebrug, Leiden;2
;;;
35;183 - Corpus;Leiderdorpsebrug, Leiden;0
35;183 - Corpus;Meerburgerkade, Leiden;1
35;183 - Corpus;Wilhelminabrug, Leiden;1
35;183 - Corpus;Burggravenlaan, Leiden;1
35;183 - Corpus;Plantage, Leiden;1
35;183 - Corpus;Kraaierstraat, Leiden;2
35;183 - Corpus;Jan van Houtkade, Leiden;2
35;183 - Corpus;Witte Rozenstraat, Leiden;1
35;183 - Corpus;Paterstraat, Leiden;1
35;183 - Corpus;Noordeinde, Leiden;1
35;183 - Corpus;Prinsessekade, Leiden;1
35;183 - Corpus;Nieuwe Beestenmarkt, Leiden;2
35;183 - Corpus;Station Leiden Centraal, Leiden (Aankomst);2
35;183 - Corpus;Station Leiden Centraal, Leiden (Vertrek);5
35;183 - Corpus;Noodhalte Naturalis, Leiden;3
35;183 - Corpus;Universiteitsterrein, Leiden;1
35;183 - Corpus;Niels Bohrweg, Leiden;1
;;;
37;187 - Leiden Centraal;Zaalbergweg/DZB Leiden;1
37;187 - Leiden Centraal;De Heyderweg, Leiden;2
37;187 - Leiden Centraal;Roomburg, Leiden;1
37;187 - Leiden Centraal;Augustuspad, Leiden;2
37;187 - Leiden Centraal;Zorgcentrum Roomburgh, Leiden;2
37;187 - Leiden Centraal;Wilhelminabrug, Leiden;1
37;187 - Leiden Centraal;Burggravenlaan, Leiden;1
37;187 - Leiden Centraal;Plantage, Leiden;1
37;187 - Leiden Centraal;Kraaierstraat, Leiden;2
37;187 - Leiden Centraal;Jan van Houtkade, Leiden;1
37;187 - Leiden Centraal;Witte Rozenstraat, Leiden;1
37;187 - Leiden Centraal;Paterstraat, Leiden;0
37;187 - Leiden Centraal;Noordeinde, Leiden;1
37;187 - Leiden Centraal;Prinsessekade, Leiden;1
37;187 - Leiden Centraal;Nieuwe Beestenmarkt, Leiden;4
37;187 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
38;187 - Boskoop;Station Leiden Centraal, Leiden (Vertrek);1
38;187 - Boskoop;Steenstraat, Leiden;2
38;187 - Boskoop;Noordeinde, Leiden;1
38;187 - Boskoop;Paterstraat, Leiden;1
38;187 - Boskoop;Witte Rozenstraat, Leiden;1
38;187 - Boskoop;Jan van Houtkade, Leiden;2
38;187 - Boskoop;Kraaierstraat, Leiden;0
38;187 - Boskoop;Plantage, Leiden;2
38;187 - Boskoop;Burggravenlaan, Leiden;2
38;187 - Boskoop;Zorgcentrum Roomburgh, Leiden;1
38;187 - Boskoop;Augustuspad, Leiden;1
38;187 - Boskoop;Roomburg, Leiden;2
38;187 - Boskoop;De Heyderweg, Leiden;1
38;187 - Boskoop;Zaalbergweg/DZB Leiden;2
;;;
40;250 - Haarlem;Station Leiden Centraal, Leiden (Vertrek);3
40;250 - Haarlem;Verbeekstraat, Leiden;1
40;250 - Haarlem;Bio Science Park-Oost, Leiden;
;;;
39;250 - Leiden Centraal;Bio Science Park-Oost, Leiden;1
39;250 - Leiden Centraal;Verbeekstraat, Leiden;3
39;250 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
42;365 - Schiphol;Station Leiden Centraal, Leiden (Vertrek);1
42;365 - Schiphol;Leiden CS Westzijde, Leiden;3
42;365 - Schiphol;Groenoord, Leiden;2
42;365 - Schiphol;Kooiplein, Leiden;2
;;;
41;365 - Leiden Centraal;Kooiplein, Leiden;2
41;365 - Leiden Centraal;Groenoord, Leiden;6
41;365 - Leiden Centraal;Leiden CS Westzijde, Leiden;1
41;365 - Leiden Centraal;Station Leiden Centraal, Leiden (Aankomst);
;;;
43;366 - Leiden Centraal;Kooiplein, Leiden;2
43;366 - Leiden Centraal;Groenoord, Leiden;4
43;366 - Leiden Centraal;Leiden CS Westzijde, Leiden;1
