route_ID,name,bus_stop,StopID,traveltime to next stop
10,14 - De Vink,"Station De Vink, Leiden",71,0
11,20 - Leiden Centraal,"Lijsterstraat, Leiden",50,2
11,20 - Leiden Centraal,"Posthof, Leiden",65,2
11,20 - Leiden Centraal,"Leiden CS Westzijde, Leiden",47,1
11,20 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
12,20 - Vuurtorenplein,"Station Leiden Centraal, Leiden (Vertrek)",74,1
12,20 - Vuurtorenplein,"Leiden CS Westzijde, Leiden",47,1
12,20 - Vuurtorenplein,"Posthof, Leiden",65,2
12,20 - Vuurtorenplein,"Lijsterstraat, Leiden",50,1
13,21 - Leiden Centraal,"Lijsterstraat, Leiden",50,2
13,21 - Leiden Centraal,"Posthof, Leiden",65,2
13,21 - Leiden Centraal,"Leiden CS Westzijde, Leiden",47,1
13,21 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
14,21 - Vuurtorenplein,"Station Leiden Centraal, Leiden (Vertrek)",74,1
14,21 - Vuurtorenplein,"Leiden CS Westzijde, Leiden",47,1
14,21 - Vuurtorenplein,"Posthof, Leiden",65,2
14,21 - Vuurtorenplein,"Lijsterstraat, Leiden",50,1
16,"22 - Nieuw Vennep, Station","Station Leiden Centraal, Leiden (Vertrek)",74,3
16,"22 - Nieuw Vennep, Station","Verbeekstraat, Leiden",87,1
16,"22 - Nieuw Vennep, Station","Bio Science Park-Oost, Leiden",6,0
15,22 - Leiden Centraal,"Bio Science Park-Oost, Leiden",6,1
15,22 - Leiden Centraal,"Verbeekstraat, Leiden",87,3
15,22 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
17,23 - Leiden Centraal,"Bio Science Park-Oost, Leiden",6,1
17,23 - Leiden Centraal,"Verbeekstraat, Leiden",87,3
17,23 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
18,23 - Picképlein,"Station Leiden Centraal, Leiden (Vertrek)",74,3
18,23 - Picképlein,"Verbeekstraat, Leiden",87,1
18,23 - Picképlein,"Bio Science Park-Oost, Leiden",6,0
20,30 - Willem vd Bergh,"Station Leiden Centraal, Leiden (Vertrek)",74,4
20,30 - Willem vd Bergh,"Noodhalte Naturalis, Leiden",58,2
20,30 - Willem vd Bergh,"Universiteitsterrein, Leiden",83,2
20,30 - Willem vd Bergh,"Niels Bohrweg, Leiden",56,0
19,30 - Leiden Centraal,"Niels Bohrweg, Leiden",56,2
19,30 - Leiden Centraal,"Universiteitsterrein, Leiden",83,2
19,30 - Leiden Centraal,"Noodhalte Naturalis, Leiden",58,6
19,30 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
21,31 - Leiden Centraal,"Niels Bohrweg, Leiden",56,2
21,31 - Leiden Centraal,"Universiteitsterrein, Leiden",83,2
21,31 - Leiden Centraal,"Noodhalte Naturalis, Leiden",58,6
21,31 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
22,31 - Willem vd Bergh,"Station Leiden Centraal, Leiden (Vertrek)",74,4
22,31 - Willem vd Bergh,"Noodhalte Naturalis, Leiden",58,2
22,31 - Willem vd Bergh,"Universiteitsterrein, Leiden",83,1
22,31 - Willem vd Bergh,"Niels Bohrweg, Leiden",56,0
24,38 - Hangaar 1,"Station Leiden Centraal, Leiden (Vertrek)",74,5
24,38 - Hangaar 1,"Noodhalte Naturalis, Leiden",58,2
24,38 - Hangaar 1,"Universiteitsterrein, Leiden",83,1
24,38 - Hangaar 1,"Niels Bohrweg, Leiden",56,0
23,38 - Leiden Centraal,"Niels Bohrweg, Leiden",56,1
23,38 - Leiden Centraal,"Universiteitsterrein, Leiden",83,2
23,38 - Leiden Centraal,"Noodhalte Naturalis, Leiden",58,6
23,38 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
25,50 - Leiden Centraal,"Lijsterstraat, Leiden",50,4
25,50 - Leiden Centraal,"Posthof, Leiden",65,3
25,50 - Leiden Centraal,"Leiden CS Westzijde, Leiden",47,1
25,50 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
26,50 - Meer en Duin,"Station Leiden Centraal, Leiden (Vertrek)",74,1
26,50 - Meer en Duin,"Leiden CS Westzijde, Leiden",47,1
26,50 - Meer en Duin,"Posthof, Leiden",65,1
26,50 - Meer en Duin,"Lijsterstraat, Leiden",50,1
28,55 - Voorhout Station,"Trompweg, Voorschoten",81,2
28,55 - Voorhout Station,"Bizetpad, Leiden",7,1
28,55 - Voorhout Station,"Sweelincklaan, Leiden",80,1
28,55 - Voorhout Station,"Cornelis Schuytlaan, Leiden",16,1
28,55 - Voorhout Station,"Brandts Buyskade, Leiden",10,1
28,55 - Voorhout Station,"Churchillbrug, Leiden",15,2
28,55 - Voorhout Station,"De Genestetstraat, Leiden",20,1
28,55 - Voorhout Station,"Noordeinde, Leiden",59,1
28,55 - Voorhout Station,"Prinsessekade, Leiden",66,1
28,55 - Voorhout Station,"Nieuwe Beestenmarkt, Leiden",57,2
28,55 - Voorhout Station,"Station Leiden Centraal, Leiden (Aankomst)",73,5
28,55 - Voorhout Station,"Station Leiden Centraal, Leiden (Vertrek)",74,1
28,55 - Voorhout Station,"Leiden CS Westzijde, Leiden",47,2
28,55 - Voorhout Station,"Posthof, Leiden",65,1
28,55 - Voorhout Station,"Alrijne Ziekenhuis, Leiden",2,1
28,55 - Voorhout Station,"Zweilandlaan, Leiden",100,3
27,55 - Starrenburg,"Zweilandlaan, Leiden",100,2
27,55 - Starrenburg,"Alrijne Ziekenhuis, Leiden",2,3
27,55 - Starrenburg,"Posthof, Leiden",65,2
27,55 - Starrenburg,"Leiden CS Westzijde, Leiden",47,1
