Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
6_6_6_2_3_3_4_3_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-652293.792668487410992	0.055000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654985.359967576339841	0.056000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_3_5_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662917.945320235914551	0.051000000000000
8_5_7_3_3_3_4_2_2_2_4_3_6_6_4_5_3_4_5_4_3_4_4_1	1	1104370.955408646259457	14599.367828388027192	2214874.392807353287935	0.807000000000000	-663219.467509860172868	0.064000000000000
6_5_6_3_3_3_4_2_2_2_3_3_5_8_4_6_3_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655782.030400697956793	0.043000000000000
8_5_6_2_3_3_4_2_2_2_4_3_5_8_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-660725.375379398814403	0.058000000000000
6_5_6_4_3_3_4_2_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662685.969048852100968	0.060000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655427.985496007604524	0.054000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_3_5_5_4_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-663566.959091170807369	0.057000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_5_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653658.575365731958300	0.056000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_3_5_5_4_3_5_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-663058.588307491736487	0.043000000000000
8_5_6_3_3_3_4_2_2_2_3_3_6_5_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-648509.317659844760783	0.043000000000000
8_5_6_2_3_3_4_2_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	1	1100808.500360108213499	14012.103899148369237	2230428.362316974904388	0.217000000000000	-661512.085561250569299	0.047000000000000
6_6_8_4_3_3_4_3_2_2_1_4_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654985.359967576339841	0.051000000000000
7_5_6_4_3_3_4_2_2_2_3_3_5_8_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-666665.601068572374061	0.066000000000000
