ID	Type	Line	Tail	Head	Time
349	0	2	242	243	2
350	0	2	243	244	2
351	0	2	244	245	2
352	0	2	245	246	3
353	0	2	246	247	1
354	0	2	247	248	2
355	0	2	248	249	2
356	0	2	249	250	1
357	0	2	250	251	1
358	0	2	251	252	2
359	0	2	252	253	2
360	0	2	253	254	1
361	0	2	254	255	18
362	0	2	255	254	16
363	0	2	254	253	1
364	0	2	253	256	1
365	0	2	256	252	1
366	0	2	252	251	2
367	0	2	251	250	1
368	0	2	250	249	1
369	0	2	249	248	2
370	0	2	248	247	2
371	0	2	247	246	1
372	0	2	246	257	2
373	0	2	257	258	1
374	0	2	258	243	3
375	0	2	244	242	3
376	0	2	242	241	1
377	0	2	241	240	0
378	0	2	240	239	1
379	0	2	239	238	2
380	0	2	238	237	1
381	0	2	237	236	1
382	0	2	236	235	2
383	0	2	235	234	0
384	0	2	234	233	1
385	0	2	233	232	1
386	0	2	232	231	1
387	0	2	231	230	1
388	0	2	230	229	1
389	0	2	229	228	2
390	0	2	228	227	3
391	1	2	70	227	0
392	2	2	227	70	0
393	1	2	95	228	0
394	2	2	228	95	0
395	1	2	13	229	0
396	2	2	229	13	0
397	1	2	32	230	0
398	2	2	230	32	0
399	1	2	31	231	0
400	2	2	231	31	0
401	1	2	85	232	0
402	2	2	232	85	0
403	1	2	33	233	0
404	2	2	233	33	0
405	1	2	27	234	0
406	2	2	234	27	0
407	1	2	81	235	0
408	2	2	235	81	0
409	1	2	66	236	0
410	2	2	236	66	0
411	1	2	60	237	0
412	2	2	237	60	0
413	1	2	23	238	0
414	2	2	238	23	0
415	1	2	16	239	0
416	2	2	239	16	0
417	1	2	38	240	0
418	2	2	240	38	0
419	1	2	54	241	0
420	2	2	241	54	0
421	1	2	28	242	0
422	2	2	242	28	0
423	1	2	72	243	0
424	2	2	243	72	0
425	1	2	73	244	0
426	2	2	244	73	0
427	1	2	74	245	0
428	2	2	245	74	0
429	1	2	10	246	0
430	2	2	246	10	0
431	1	2	44	247	0
432	2	2	247	44	0
433	1	2	48	248	0
434	2	2	248	48	0
435	1	2	71	249	0
436	2	2	249	71	0
437	1	2	50	250	0
438	2	2	250	50	0
439	1	2	53	251	0
440	2	2	251	53	0
441	1	2	12	252	0
442	2	2	252	12	0
443	1	2	51	253	0
444	2	2	253	51	0
445	1	2	47	254	0
446	2	2	254	47	0
447	1	2	120	255	0
448	2	2	255	120	0
449	1	2	92	256	0
450	2	2	256	92	0
451	1	2	65	257	0
452	2	2	257	65	0
453	1	2	56	258	0
454	2	2	258	56	0
455	0	3	259	260	2
456	0	3	260	261	1
457	0	3	261	262	3
458	0	3	262	263	1
459	0	3	263	264	1
460	0	3	264	265	1
461	0	3	265	266	2
462	0	3	266	267	1
463	0	3	267	268	2
464	0	3	268	269	1
465	0	3	269	270	3
466	0	3	270	271	1
467	0	3	271	272	2
468	0	3	272	273	0
469	0	3	273	274	2
470	0	3	274	269	3
471	0	3	269	268	1
472	0	3	268	267	2
473	0	3	267	265	1
474	0	3	265	264	1
475	0	3	264	263	1
476	0	3	263	262	1
477	0	3	262	261	2
478	0	3	261	260	3
479	0	3	260	259	2
480	1	3	70	259	0
481	2	3	259	70	0
482	1	3	80	260	0
483	2	3	260	80	0
484	1	3	6	261	0
485	2	3	261	6	0
486	1	3	88	262	0
487	2	3	262	88	0
488	1	3	68	263	0
489	2	3	263	68	0
490	1	3	26	264	0
491	2	3	264	26	0
492	1	3	34	265	0
493	2	3	265	34	0
494	1	3	41	266	0
495	2	3	266	41	0
496	1	3	48	267	0
497	2	3	267	48	0
498	1	3	44	268	0
499	2	3	268	44	0
500	1	3	10	269	0
501	2	3	269	10	0
502	1	3	65	270	0
503	2	3	270	65	0
504	1	3	56	271	0
505	2	3	271	56	0
506	1	3	72	272	0
507	2	3	272	72	0
508	1	3	73	273	0
509	2	3	273	73	0
510	1	3	74	274	0
511	2	3	274	74	0
512	0	4	275	276	1
513	0	4	276	277	1
514	0	4	277	278	2
515	0	4	278	279	30
516	0	4	279	278	28
517	0	4	278	277	2
518	0	4	277	276	2
519	0	4	276	280	1
520	1	4	73	275	0
521	2	4	275	73	0
522	1	4	46	276	0
523	2	4	276	46	0
524	1	4	64	277	0
525	2	4	277	64	0
526	1	4	49	278	0
527	2	4	278	49	0
528	1	4	101	279	0
529	2	4	279	101	0
530	1	4	72	280	0
531	2	4	280	72	0
532	0	5	281	282	1
533	0	5	282	283	1
534	0	5	283	284	2
535	0	5	284	285	29
536	0	5	285	284	27
537	0	5	284	283	2
538	0	5	283	282	2
539	0	5	282	286	1
540	1	5	73	281	0
541	2	5	281	73	0
542	1	5	46	282	0
543	2	5	282	46	0
544	1	5	64	283	0
545	2	5	283	64	0
546	1	5	49	284	0
547	2	5	284	49	0
548	1	5	101	285	0
549	2	5	285	101	0
550	1	5	72	286	0
551	2	5	286	72	0
552	0	6	287	288	3
553	0	6	288	289	1
554	0	6	289	290	61
555	0	6	290	289	41
556	0	6	289	288	1
557	0	6	288	291	3
558	1	6	73	287	0
559	2	6	287	73	0
560	1	6	86	288	0
561	2	6	288	86	0
562	1	6	5	289	0
563	2	6	289	5	0
564	1	6	102	290	0
565	2	6	290	102	0
566	1	6	72	291	0
567	2	6	291	72	0
568	0	7	292	293	3
569	0	7	293	294	1
570	0	7	294	295	23
571	0	7	295	294	25
572	0	7	294	293	1
573	0	7	293	296	3
574	1	7	73	292	0
575	2	7	292	73	0
576	1	7	86	293	0
577	2	7	293	86	0
578	1	7	5	294	0
579	2	7	294	5	0
580	1	7	103	295	0
581	2	7	295	103	0
582	1	7	72	296	0
583	2	7	296	72	0
584	0	8	297	298	4
585	0	8	298	299	2
586	0	8	299	300	2
587	0	8	300	301	30
588	0	8	301	300	27
589	0	8	300	299	2
590	0	8	299	298	2
591	0	8	298	302	6
592	1	8	73	297	0
593	2	8	297	73	0
594	1	8	57	298	0
595	2	8	298	57	0
596	1	8	82	299	0
597	2	8	299	82	0
598	1	8	55	300	0
599	2	8	300	55	0
600	1	8	104	301	0
601	2	8	301	104	0
